Year,Month,Mean maximum temperature,Mean minimum temperature,Highest temperature,Lowest temperature
2000,9,17.5,7.4,22,3
2000,10,18,8,27,-1
2000,11,22.1,13.2,37,5
2000,12,25.3,12.2,40,5
2001,1,27.8,16.1,41,9
2001,2,28.6,16.3,39,9
2001,3,23.5,11.5,34,7
2001,4,19.7,9.5,29,3
2001,5,16.2,7,22,2
2001,6,15.4,7.2,20,1
2001,7,13.7,5.4,16,1
2001,8,15.1,6.1,19,1
2001,9,18.6,7.8,28,0
2001,10,18.8,8,28,2
2001,11,20,9.6,29,2
2001,12,20.4,10.1,36,6
2002,1,24.7,12.9,37,7
2002,2,24.5,13.4,37,9
2002,3,23.4,12.4,35,4
2002,4,20.9,10.7,30,3
2002,5,17.5,7,26,1
2002,6,15.4,6.4,19,-1
2002,7,15.2,5.6,19,-1
2002,8,15.6,5.2,20,-2
2002,9,18.7,6.8,29,0
2002,10,20.5,8.4,31,2
2002,11,23.2,10,34,5
2002,12,24.4,12.7,37,6
2003,1,26.9,13.5,45,7
2003,2,25.2,15.3,36,8
2003,3,23.4,13.4,35,8
2003,4,20.2,10,29,5
2003,5,18,7.5,25,1
2003,6,15.8,7.5,21,1
2003,7,14.3,5.3,19,1
2003,8,14.3,5.6,17.7,-1.2
2003,9,17,5.9,23.2,-0.8
2003,10,16.8,7.2,27.9,0.5
2003,11,22.8,10.9,39.1,2.8
2003,12,26.6,13.5,41.3,7.6
2004,1,23.6,12.2,37.9,5.2
2004,2,25.1,13.9,41.6,9.9
2004,3,22.9,12.1,35.3,7.3
2004,4,20.8,10.4,33.6,3.4
2004,5,17,7.4,21.5,1.9
2004,6,14.7,7.2,20.9,1.8
2004,7,13.5,5.5,16.6,0.3
2004,8,15.5,5.9,22.9,0.3
2004,9,16.3,7.6,24.9,1.8
2004,10,20.4,8.7,33.3,1.9
2004,11,21.3,10.9,36,3.9
2004,12,23.9,12.3,37.9,5.8
2005,1,26.1,13.7,38.5,7.4
2005,2,23.3,12.7,35.6,7.5
2005,3,22.7,11.3,37.9,2.7
2005,4,23.3,11.3,35.5,4.6
2005,5,18.3,7.7,24.4,1.5
2005,6,15.9,6.3,22.7,-1.1
2005,7,15,6.6,19.3,0.3
2005,8,15.9,6.6,22,-0.1
2005,9,17.8,6.9,24.5,0.4
2005,10,21.1,9.3,26.6,2.1
2005,11,23.9,12,33,5.4
2005,12,27.7,11.6,44.3,7
2006,1,26.8,15.7,43.3,9.1
2006,2,24.5,14.1,37.6,7.4
2006,3,25.2,13.3,39.1,8.4
2006,4,18.8,8.6,28.2,3.5
2006,5,15.9,7.1,20,0.2
2006,6,13.6,3.9,16.6,-1.1
2006,7,14,5.9,17.7,-1.6
2006,8,16.4,5.4,22.9,-0.9
2006,9,18.9,7.3,30,1.4
2006,10,21.7,7,37.2,1.2
2006,11,22.1,10.1,38.7,5.4
